Day,"Gas (NCG, THE)"
,"Price (EUR/MWh, EUR/tCO2)"
01.01.2023,
02.01.2023,
03.01.2023,76.002
04.01.2023,71.271
05.01.2023,65.691
06.01.2023,65.295
07.01.2023,68.798
08.01.2023,68.798
09.01.2023,70.128
10.01.2023,70.552
11.01.2023,69.916
12.01.2023,65.544
13.01.2023,66.558
14.01.2023,64.389
15.01.2023,64.389
16.01.2023,64.979
17.01.2023,56.957
18.01.2023,58.271
19.01.2023,62.372
20.01.2023,61.57
21.01.2023,65.823
22.01.2023,65.823
23.01.2023,65.466
24.01.2023,67.507
25.01.2023,60.934
26.01.2023,58.145
27.01.2023,57.92
28.01.2023,55.769
29.01.2023,55.769
30.01.2023,55.758
31.01.2023,57.268
01.02.2023,58.695
02.02.2023,60.095
03.02.2023,57.697
04.02.2023,59.203
05.02.2023,59.203
06.02.2023,59.758
07.02.2023,59.277
08.02.2023,57.909
09.02.2023,55.175
10.02.2023,54.968
11.02.2023,54.689
12.02.2023,54.689
13.02.2023,54.956
14.02.2023,53.14
15.02.2023,53.85
16.02.2023,54.898
17.02.2023,52.756
18.02.2023,49.544
19.02.2023,49.544
20.02.2023,49.711
21.02.2023,51.208
22.02.2023,49.328
23.02.2023,50.838
24.02.2023,50.897
25.02.2023,52.472
26.02.2023,52.472
27.02.2023,52.905
28.02.2023,50.379
01.03.2023,48.697
02.03.2023,49.078
03.03.2023,48.631
04.03.2023,46.787
05.03.2023,46.787
06.03.2023,47.071
07.03.2023,44.385
08.03.2023,44.885
09.03.2023,44.803
10.03.2023,43.608
11.03.2023,51.233
12.03.2023,51.233
13.03.2023,50.524
14.03.2023,51.727
15.03.2023,46.55
16.03.2023,44.191
17.03.2023,44.213
18.03.2023,43.703
19.03.2023,43.703
20.03.2023,43.701
21.03.2023,40.64
22.03.2023,41.077
23.03.2023,40.927
24.03.2023,42.89
25.03.2023,42.182
26.03.2023,42.182
27.03.2023,42.704
28.03.2023,43.826
29.03.2023,43.549
30.03.2023,43.293
31.03.2023,43.431
01.04.2023,47.442
02.04.2023,47.442
03.04.2023,48.196
04.04.2023,51.915
05.04.2023,50.002
06.04.2023,47.821
07.04.2023,44.682
08.04.2023,44.682
09.04.2023,44.682
10.04.2023,44.682
11.04.2023,44.62
12.04.2023,44.561
13.04.2023,44.885
14.04.2023,43.891
15.04.2023,42.52
16.04.2023,42.52
17.04.2023,42.63
18.04.2023,43.014
19.04.2023,43.667
20.04.2023,42.964
21.04.2023,42.054
22.04.2023,41.392
23.04.2023,41.392
24.04.2023,41.498
25.04.2023,40.5
26.04.2023,40.797
27.04.2023,39.868
28.04.2023,39.643
29.04.2023,39.677
30.04.2023,39.677
01.05.2023,39.677
02.05.2023,39.951
03.05.2023,38.663
04.05.2023,37.265
05.05.2023,36.219
06.05.2023,36.068
07.05.2023,36.068
08.05.2023,36.068
09.05.2023,36.322
10.05.2023,36.709
11.05.2023,35.959
12.05.2023,35.004
13.05.2023,33.43
14.05.2023,33.43
15.05.2023,33.497
16.05.2023,32.632
17.05.2023,32.536
18.05.2023,32.597
19.05.2023,30.587
20.05.2023,29.651
21.05.2023,29.651
22.05.2023,30.194
23.05.2023,29.68
24.05.2023,30.021
25.05.2023,29.135
26.05.2023,26.461
27.05.2023,24.484
28.05.2023,24.484
29.05.2023,24.484
30.05.2023,24.79
31.05.2023,25.309
01.06.2023,26.726
02.06.2023,24.135
03.06.2023,23.712
04.06.2023,23.712
05.06.2023,23.817
06.06.2023,27.892
07.06.2023,26.335
08.06.2023,26.296
09.06.2023,27.54
10.06.2023,30.669
11.06.2023,30.669
12.06.2023,30.781
13.06.2023,30.533
14.06.2023,33.174
15.06.2023,37.237
16.06.2023,41.919
17.06.2023,35.101
18.06.2023,35.101
19.06.2023,35.287
20.06.2023,34.34
21.06.2023,38.971
22.06.2023,38.508
23.06.2023,35.676
24.06.2023,32.664
25.06.2023,32.664
26.06.2023,32.875
27.06.2023,33.642
28.06.2023,33.892
29.06.2023,34.858
30.06.2023,34.364
01.07.2023,36.304
02.07.2023,36.304
03.07.2023,36.538
04.07.2023,35.22
05.07.2023,34.54
06.07.2023,34.99
07.07.2023,32.722
08.07.2023,32.647
09.07.2023,32.647
10.07.2023,32.915
11.07.2023,31.03
12.07.2023,29.426
13.07.2023,27.614
14.07.2023,26.583
15.07.2023,26.388
16.07.2023,26.388
17.07.2023,26.586
18.07.2023,25.354
19.07.2023,26.613
20.07.2023,26.938
21.07.2023,27.7
22.07.2023,29.009
23.07.2023,29.009
24.07.2023,29.047
25.07.2023,29.893
26.07.2023,32.24
27.07.2023,30.879
28.07.2023,28.656
29.07.2023,26.18
30.07.2023,26.18
31.07.2023,26.194
01.08.2023,26.715
02.08.2023,27.285
03.08.2023,27.568
04.08.2023,29.87
05.08.2023,28.629
06.08.2023,28.629
07.08.2023,28.65
08.08.2023,29.475
09.08.2023,29.823
10.08.2023,36.956
11.08.2023,36.115
12.08.2023,33.203
13.08.2023,33.203
14.08.2023,33.395
15.08.2023,32.447
16.08.2023,35.753
17.08.2023,35.786
18.08.2023,34.92
19.08.2023,33.84
20.08.2023,33.84
21.08.2023,33.997
22.08.2023,39.096
23.08.2023,42.605
24.08.2023,38.585
25.08.2023,32.779
26.08.2023,34.778
27.08.2023,34.778
28.08.2023,34.778
29.08.2023,35.339
30.08.2023,36.656
31.08.2023,36.07
01.09.2023,33.53
02.09.2023,32.601
03.09.2023,32.601
04.09.2023,32.607
05.09.2023,32.313
06.09.2023,32.54
07.09.2023,31.564
08.09.2023,31.971
09.09.2023,34.705
10.09.2023,34.705
11.09.2023,34.682
12.09.2023,37.279
13.09.2023,36.288
14.09.2023,36.954
15.09.2023,36.126
16.09.2023,35.958
17.09.2023,35.958
18.09.2023,35.956
19.09.2023,34.955
20.09.2023,36.222
21.09.2023,37.516
22.09.2023,38.76
23.09.2023,40.761
24.09.2023,40.761
25.09.2023,40.811
26.09.2023,44.831
27.09.2023,41.322
28.09.2023,39.847
29.09.2023,40.763
30.09.2023,37.71
01.10.2023,37.71
02.10.2023,38.073
03.10.2023,33.972
04.10.2023,28.845
05.10.2023,32.113
06.10.2023,29.292
07.10.2023,30.371
08.10.2023,30.371
09.10.2023,30.852
10.10.2023,39.104
11.10.2023,44.822
12.10.2023,45.546
13.10.2023,47.685
14.10.2023,52.376
15.10.2023,52.376
16.10.2023,53.294
17.10.2023,48.837
18.10.2023,45.621
19.10.2023,47.416
20.10.2023,44.959
21.10.2023,46.148
22.10.2023,46.148
23.10.2023,46.776
24.10.2023,47.487
25.10.2023,48.868
26.10.2023,48.978
27.10.2023,48.674
28.10.2023,47.868
29.10.2023,47.868
30.10.2023,48.099
31.10.2023,49.195
01.11.2023,42.137
02.11.2023,37.868
03.11.2023,38.554
04.11.2023,40.75
05.11.2023,40.75
06.11.2023,41.303
07.11.2023,41.656
08.11.2023,43.142
09.11.2023,43.935
10.11.2023,44.496
11.11.2023,42.322
12.11.2023,42.322
13.11.2023,43.04
14.11.2023,41.445
15.11.2023,43.887
16.11.2023,46.688
17.11.2023,46.504
18.11.2023,45.318
19.11.2023,45.318
20.11.2023,45.572
21.11.2023,46.385
22.11.2023,45.285
23.11.2023,44.879
24.11.2023,46.723
25.11.2023,47.227
26.11.2023,47.227
27.11.2023,47.514
28.11.2023,45.2
29.11.2023,43.985
30.11.2023,42.724
01.12.2023,42.134
02.12.2023,43.44
03.12.2023,43.44
04.12.2023,43.562
05.12.2023,41.445
06.12.2023,39.464
07.12.2023,39.741
08.12.2023,40.297
09.12.2023,39.331
10.12.2023,39.331
11.12.2023,39.41
12.12.2023,36.162
13.12.2023,35.216
14.12.2023,35.774
15.12.2023,35.049
16.12.2023,32.429
17.12.2023,32.429
18.12.2023,32.702
19.12.2023,34.406
20.12.2023,32.677
21.12.2023,32.95
22.12.2023,34.084
23.12.2023,32.983
24.12.2023,32.983
25.12.2023,32.983
26.12.2023,32.983
27.12.2023,33.348
28.12.2023,35.123
29.12.2023,32.488
30.12.2023,31.574
31.12.2023,31.574
