Day,"Gas (NCG, THE)"
,"Price (EUR/MWh, EUR/tCO2)"
01.01.2022,70.807
02.01.2022,
03.01.2022,70.807
04.01.2022,71.982
05.01.2022,91.338
06.01.2022,92.598
07.01.2022,94.548
08.01.2022,90.886
09.01.2022,
10.01.2022,91.43
11.01.2022,88.498
12.01.2022,82.675
13.01.2022,79.105
14.01.2022,79.105
15.01.2022,89.824
16.01.2022,
17.01.2022,90.021
18.01.2022,80.637
19.01.2022,78.242
20.01.2022,74.748
21.01.2022,74.4
22.01.2022,79.12
23.01.2022,
24.01.2022,79.422
25.01.2022,91.752
26.01.2022,93.457
27.01.2022,91.861
28.01.2022,92.469
29.01.2022,92.726
30.01.2022,
31.01.2022,92.831
01.02.2022,86.425
02.02.2022,76.484
03.02.2022,77.928
04.02.2022,78.694
05.02.2022,82.064
06.02.2022,
07.02.2022,82.235
08.02.2022,78.596
09.02.2022,79.451
10.02.2022,75.915
11.02.2022,74.39
12.02.2022,75.533
13.02.2022,
14.02.2022,75.554
15.02.2022,81.19
16.02.2022,72.742
17.02.2022,69.371
18.02.2022,73.103
19.02.2022,72.302
20.02.2022,
21.02.2022,72.542
22.02.2022,73.225
23.02.2022,79.432
24.02.2022,87.042
25.02.2022,125.967
26.02.2022,97.273
27.02.2022,
28.02.2022,98.02
01.03.2022,104.734
02.03.2022,117.791
03.03.2022,166.246
04.03.2022,164.459
05.03.2022,188.305
06.03.2022,
07.03.2022,189.474
08.03.2022,246.942
09.03.2022,212.93
10.03.2022,163.493
11.03.2022,133.528
12.03.2022,125.259
13.03.2022,
14.03.2022,127.709
15.03.2022,114.935
16.03.2022,116.426
17.03.2022,106.087
18.03.2022,105.083
19.03.2022,101.046
20.03.2022,
21.03.2022,101.487
22.03.2022,96.216
23.03.2022,96.188
24.03.2022,109.395
25.03.2022,114.125
26.03.2022,100.981
27.03.2022,
28.03.2022,101.827
29.03.2022,101.957
30.03.2022,110.03
31.03.2022,119.844
01.04.2022,121.255
02.04.2022,120.241
03.04.2022,
04.04.2022,120.346
05.04.2022,111.258
06.04.2022,109.154
07.04.2022,108.819
08.04.2022,105.453
09.04.2022,107.069
10.04.2022,
11.04.2022,107.325
12.04.2022,102.816
13.04.2022,103.685
14.04.2022,104.715
15.04.2022,97.33
16.04.2022,97.33
17.04.2022,
18.04.2022,97.33
19.04.2022,98.46
20.04.2022,93.519
21.04.2022,96.083
22.04.2022,97.471
23.04.2022,95.486
24.04.2022,
25.04.2022,96.422
26.04.2022,96.892
27.04.2022,94.689
28.04.2022,108.398
29.04.2022,101.985
30.04.2022,100.434
01.05.2022,
02.05.2022,100.434
03.05.2022,100.813
04.05.2022,98.744
05.05.2022,103.21
06.05.2022,101.49
07.05.2022,93.875
08.05.2022,
09.05.2022,94.918
10.05.2022,88
11.05.2022,84.058
12.05.2022,84.575
13.05.2022,96.188
14.05.2022,91.051
15.05.2022,
16.05.2022,91.894
17.05.2022,92.624
18.05.2022,92.99
19.05.2022,93.894
20.05.2022,90.38
21.05.2022,85.862
22.05.2022,
23.05.2022,86.503
24.05.2022,80.55
25.05.2022,80.479
26.05.2022,80.546
27.05.2022,81.6
28.05.2022,81.798
29.05.2022,
30.05.2022,82.59
31.05.2022,87.14
01.06.2022,90.344
02.06.2022,80.803
03.06.2022,80.803
04.06.2022,
05.06.2022,
06.06.2022,80.739
07.06.2022,79.768
08.06.2022,78.361
09.06.2022,77.288
10.06.2022,83.934
11.06.2022,80.453
12.06.2022,
13.06.2022,81.222
14.06.2022,81.409
15.06.2022,91.499
16.06.2022,106.569
17.06.2022,132.967
18.06.2022,117.612
19.06.2022,
20.06.2022,118.704
21.06.2022,120.925
22.06.2022,123.114
23.06.2022,127.129
24.06.2022,132.001
25.06.2022,126.877
26.06.2022,
27.06.2022,128.124
28.06.2022,131.202
29.06.2022,129.346
30.06.2022,138.89
01.07.2022,147.263
02.07.2022,146.233
03.07.2022,
04.07.2022,146.617
05.07.2022,162.411
06.07.2022,170.708
07.07.2022,166.69
08.07.2022,183.585
09.07.2022,177.326
10.07.2022,
11.07.2022,178.569
12.07.2022,169.884
13.07.2022,173.908
14.07.2022,182.356
15.07.2022,176.314
16.07.2022,161.715
17.07.2022,
18.07.2022,161.951
19.07.2022,159.589
20.07.2022,158.329
21.07.2022,156.781
22.07.2022,151.333
23.07.2022,161.078
24.07.2022,
25.07.2022,161.864
26.07.2022,169.55
27.07.2022,196.615
28.07.2022,211.113
29.07.2022,205.351
30.07.2022,193.504
31.07.2022,
01.08.2022,193.846
02.08.2022,200.291
03.08.2022,205.316
04.08.2022,202.24
05.08.2022,196.406
06.08.2022,196.133
07.08.2022,
