Day,"Gas (NCG, THE)"
08.08.2022,195.67
09.08.2022,195.46
10.08.2022,190.161
11.08.2022,202.467
12.08.2022,210.885
13.08.2022,203.648
14.08.2022,
15.08.2022,203.639
16.08.2022,212.846
17.08.2022,235.643
18.08.2022,231.385
19.08.2022,234.537
20.08.2022,243.841
21.08.2022,
22.08.2022,244.68
23.08.2022,282.309
24.08.2022,272.212
25.08.2022,283.492
26.08.2022,312.156
27.08.2022,312.137
28.08.2022,
29.08.2022,312.137
30.08.2022,313.553
31.08.2022,262.711
01.09.2022,244.325
02.09.2022,229.117
03.09.2022,194.61
04.09.2022,
05.09.2022,194.04
06.09.2022,233.347
07.09.2022,212.006
08.09.2022,215.547
09.09.2022,198.332
10.09.2022,193.91
11.09.2022,
12.09.2022,194.45
13.09.2022,186.644
14.09.2022,189.042
15.09.2022,210.517
16.09.2022,212.864
17.09.2022,170.953
18.09.2022,
19.09.2022,171.008
20.09.2022,164.889
21.09.2022,170.398
22.09.2022,185.602
23.09.2022,175.829
24.09.2022,167.866
25.09.2022,
26.09.2022,169.689
27.09.2022,166.093
28.09.2022,189.562
29.09.2022,200.991
30.09.2022,184.858
01.10.2022,164.578
02.10.2022,
03.10.2022,164.097
04.10.2022,140.882
05.10.2022,107.251
06.10.2022,91.862
07.10.2022,122.21
08.10.2022,117.656
09.10.2022,
10.10.2022,119.323
11.10.2022,105.449
12.10.2022,106.853
13.10.2022,105.416
14.10.2022,98.389
15.10.2022,70.556
16.10.2022,
17.10.2022,72.295
18.10.2022,62.112
19.10.2022,60.722
20.10.2022,70.452
21.10.2022,63.773
22.10.2022,46.188
23.10.2022,
24.10.2022,48.243
25.10.2022,32.476
26.10.2022,39.904
27.10.2022,49.657
28.10.2022,37.635
29.10.2022,31.835
30.10.2022,
31.10.2022,35.011
01.11.2022,39.241
02.11.2022,29.463
03.11.2022,44.915
04.11.2022,76.072
05.11.2022,57.647
06.11.2022,
07.11.2022,60.249
08.11.2022,58.408
09.11.2022,84.444
10.11.2022,93.987
11.11.2022,85.324
12.11.2022,69.845
13.11.2022,
14.11.2022,75.351
15.11.2022,104.726
16.11.2022,118.513
17.11.2022,108.676
18.11.2022,102.749
19.11.2022,108.688
20.11.2022,
21.11.2022,109.754
22.11.2022,115.413
23.11.2022,116.079
24.11.2022,125.364
25.11.2022,122.855
26.11.2022,121.46
27.11.2022,
28.11.2022,123.29
29.11.2022,123.668
30.11.2022,132.707
01.12.2022,143.955
02.12.2022,145.223
03.12.2022,133.086
04.12.2022,
05.12.2022,134.079
06.12.2022,136.706
07.12.2022,138.43
08.12.2022,147.545
09.12.2022,147.682
10.12.2022,139.917
11.12.2022,
12.12.2022,141.226
13.12.2022,138.104
14.12.2022,139.911
15.12.2022,133.026
16.12.2022,135.863
17.12.2022,121.903
18.12.2022,
19.12.2022,121.81
20.12.2022,107.677
21.12.2022,105.144
22.12.2022,97.092
23.12.2022,90.979
24.12.2022,82.686
25.12.2022,
26.12.2022,82.686
27.12.2022,82.686
28.12.2022,83.301
29.12.2022,77.09
30.12.2022,81.045
31.12.2022,
