Day,"Gas (NCG, THE)"
,"Price (EUR/MWh, EUR/tCO2)"
01.01.2024,31.574
02.01.2024,31.634
03.01.2024,30.392
04.01.2024,31.78
05.01.2024,33.168
06.01.2024,34.486
07.01.2024,34.486
08.01.2024,34.93
09.01.2024,32.34
10.01.2024,31.721
11.01.2024,31.725
12.01.2024,31.367
13.01.2024,32.018
14.01.2024,32.018
15.01.2024,32.173
16.01.2024,30.677
17.01.2024,30.478
18.01.2024,28.661
19.01.2024,28.799
20.01.2024,29.078
21.01.2024,29.078
22.01.2024,29.036
23.01.2024,27.613
24.01.2024,27.6
25.01.2024,28.663
26.01.2024,28.08
27.01.2024,27.866
28.01.2024,27.866
29.01.2024,28.068
30.01.2024,29.011
31.01.2024,29.283
01.02.2024,30.058
02.02.2024,29.364
03.02.2024,28.974
04.02.2024,28.974
05.02.2024,29.034
06.02.2024,28.545
07.02.2024,28.803
08.02.2024,28.679
09.02.2024,27.976
10.02.2024,26.97
11.02.2024,26.97
12.02.2024,27.182
13.02.2024,26.082
14.02.2024,25.879
15.02.2024,25.021
16.02.2024,25.218
17.02.2024,24.784
18.02.2024,24.784
19.02.2024,24.844
20.02.2024,24.078
21.02.2024,24.146
22.02.2024,24.107
23.02.2024,23.543
24.02.2024,22.995
25.02.2024,22.995
26.02.2024,23.096
27.02.2024,23.86
28.02.2024,24.212
29.02.2024,25.564
01.03.2024,25.175
02.03.2024,25.614
03.03.2024,25.614
04.03.2024,25.716
05.03.2024,26.514
06.03.2024,27.843
07.03.2024,27.311
08.03.2024,26.391
09.03.2024,26.227
10.03.2024,26.227
11.03.2024,26.339
12.03.2024,25.191
13.03.2024,24.763
14.03.2024,24.823
15.03.2024,25.212
16.03.2024,26.81
17.03.2024,26.81
18.03.2024,26.943
19.03.2024,28.661
20.03.2024,28.519
21.03.2024,28.056
22.03.2024,26.672
23.03.2024,27.371
24.03.2024,27.371
25.03.2024,27.512
26.03.2024,28.39
27.03.2024,27.512
28.03.2024,27.323
29.03.2024,27.097
30.03.2024,27.097
31.03.2024,27.097
01.04.2024,27.097
02.04.2024,27.478
03.04.2024,26.744
04.04.2024,25.71
05.04.2024,26.032
06.04.2024,26.249
07.04.2024,26.249
08.04.2024,26.328
09.04.2024,27.267
10.04.2024,27.778
11.04.2024,27.302
12.04.2024,28.99
13.04.2024,29.896
14.04.2024,29.896
15.04.2024,30.033
16.04.2024,30.993
17.04.2024,33.488
18.04.2024,32.185
19.04.2024,32.395
20.04.2024,31.547
21.04.2024,31.547
22.04.2024,31.689
23.04.2024,30.402
24.04.2024,29.493
25.04.2024,29.406
26.04.2024,30.441
27.04.2024,29.172
28.04.2024,29.172
29.04.2024,29.298
30.04.2024,27.916
01.05.2024,28.83
02.05.2024,28.479
03.05.2024,30.27
04.05.2024,30.401
05.05.2024,30.401
06.05.2024,30.401
07.05.2024,30.606
08.05.2024,31.196
09.05.2024,30.485
10.05.2024,30.789
11.05.2024,30.048
12.05.2024,30.048
13.05.2024,30.031
14.05.2024,28.97
15.05.2024,29.123
16.05.2024,29.53
17.05.2024,29.94
18.05.2024,30.297
19.05.2024,30.297
20.05.2024,30.334
21.05.2024,32.004
22.05.2024,32.376
23.05.2024,34.009
24.05.2024,35.386
25.05.2024,34.149
26.05.2024,34.149
27.05.2024,34.149
28.05.2024,34.218
29.05.2024,33.902
30.05.2024,33.953
31.05.2024,34.714
01.06.2024,34.666
02.06.2024,34.666
03.06.2024,34.78
04.06.2024,36.615
05.06.2024,34.605
06.06.2024,33.567
07.06.2024,33.449
08.06.2024,32.826
09.06.2024,32.826
10.06.2024,32.919
11.06.2024,33.607
12.06.2024,34.501
13.06.2024,35.276
14.06.2024,35.896
15.06.2024,35.138
16.06.2024,35.138
17.06.2024,35.189
18.06.2024,34.439
19.06.2024,34.448
20.06.2024,34.924
21.06.2024,34.557
22.06.2024,33.87
23.06.2024,33.87
24.06.2024,33.88
25.06.2024,33.927
26.06.2024,34.569
27.06.2024,34.19
28.06.2024,34.102
29.06.2024,33.917
30.06.2024,33.917
01.07.2024,33.91
02.07.2024,33.396
03.07.2024,33.216
04.07.2024,32.434
05.07.2024,32.821
06.07.2024,32.726
07.07.2024,32.726
08.07.2024,32.778
09.07.2024,32.236
10.07.2024,31.004
11.07.2024,30.666
12.07.2024,30.731
13.07.2024,31.225
14.07.2024,31.225
15.07.2024,31.253
16.07.2024,31.006
17.07.2024,32.375
18.07.2024,31.866
19.07.2024,32.062
20.07.2024,31.695
21.07.2024,31.695
22.07.2024,31.755
23.07.2024,31.395
24.07.2024,31.214
25.07.2024,32.196
26.07.2024,31.704
27.07.2024,32.309
28.07.2024,32.309
29.07.2024,32.368
30.07.2024,33.472
31.07.2024,33.858
01.08.2024,34.923
02.08.2024,35.97
03.08.2024,35.705
04.08.2024,35.705
05.08.2024,35.79
06.08.2024,34.735
07.08.2024,35.853
08.08.2024,37.068
09.08.2024,38.787
10.08.2024,39.293
11.08.2024,39.293
12.08.2024,39.322
13.08.2024,39.764
14.08.2024,38.634
15.08.2024,38.252
16.08.2024,38.55
17.08.2024,38.642
18.08.2024,38.642
19.08.2024,38.745
20.08.2024,39.127
21.08.2024,37.78
22.08.2024,36.708
23.08.2024,35.994
24.08.2024,36.247
25.08.2024,36.247
26.08.2024,36.247
27.08.2024,36.322
28.08.2024,38.246
29.08.2024,38.738
30.08.2024,38.395
31.08.2024,39.074
01.09.2024,39.074
02.09.2024,39.32
03.09.2024,38.721
04.09.2024,37.362
05.09.2024,36.146
06.09.2024,35.799
07.09.2024,36.513
08.09.2024,36.513
09.09.2024,36.635
10.09.2024,36.791
11.09.2024,35.603
12.09.2024,35.753
13.09.2024,35.354
14.09.2024,35.774
15.09.2024,35.774
16.09.2024,35.774
17.09.2024,34.347
18.09.2024,34.956
19.09.2024,34.903
20.09.2024,33.96
21.09.2024,34.331
22.09.2024,34.331
23.09.2024,34.511
24.09.2024,35.864
25.09.2024,36.003
26.09.2024,36.99
27.09.2024,37.367
28.09.2024,38.188
29.09.2024,38.188
30.09.2024,38.181
01.10.2024,39.289
02.10.2024,39.025
03.10.2024,39.467
04.10.2024,39.706
05.10.2024,40.842
06.10.2024,40.842
07.10.2024,40.796
08.10.2024,40.317
09.10.2024,39.317
10.10.2024,38.592
11.10.2024,40.005
12.10.2024,40.035
13.10.2024,40.035
14.10.2024,40.563
15.10.2024,40.69
16.10.2024,39.879
17.10.2024,39.624
18.10.2024,39.826
19.10.2024,39.261
20.10.2024,39.261
21.10.2024,39.402
22.10.2024,40.321
23.10.2024,41.17
24.10.2024,42.003
25.10.2024,42.811
26.10.2024,43.158
27.10.2024,43.158
28.10.2024,43.43
29.10.2024,42.657
30.10.2024,43.257
31.10.2024,41.599
01.11.2024,39.876
02.11.2024,38.859
03.11.2024,38.859
04.11.2024,39.323
05.11.2024,40.485
06.11.2024,41.143
07.11.2024,40.471
08.11.2024,41.568
09.11.2024,42.827
10.11.2024,42.827
11.11.2024,42.861
12.11.2024,44.468
13.11.2024,44.688
14.11.2024,44.371
15.11.2024,46.407
16.11.2024,46.574
17.11.2024,46.574
18.11.2024,46.729
19.11.2024,47.311
20.11.2024,47.012
21.11.2024,47.472
22.11.2024,49.225
23.11.2024,48.396
24.11.2024,48.396
25.11.2024,48.341
26.11.2024,48.741
27.11.2024,47.995
28.11.2024,47.271
29.11.2024,47.379
30.11.2024,47.809
01.12.2024,47.809
02.12.2024,47.751
03.12.2024,49.273
04.12.2024,49.198
05.12.2024,47.754
06.12.2024,47.212
07.12.2024,46.612
08.12.2024,46.612
09.12.2024,46.703
10.12.2024,46.008
11.12.2024,46.127
12.12.2024,45.758
13.12.2024,43.952
14.12.2024,42.624
15.12.2024,42.624
16.12.2024,42.662
17.12.2024,40.631
18.12.2024,42.077
19.12.2024,41.541
20.12.2024,42.983
21.12.2024,44.095
22.12.2024,44.095
23.12.2024,44.234
24.12.2024,45.902
25.12.2024,46.689
26.12.2024,46.6
27.12.2024,46.758
28.12.2024,48.424
29.12.2024,48.424
30.12.2024,48.431
31.12.2024,48.271
