Day,"Gas (NCG, THE)"
,"Price (EUR/MWh, EUR/tCO2)"
01.01.2020,
02.01.2020,
03.01.2020,12.394
04.01.2020,12.648
05.01.2020,
06.01.2020,12.814
07.01.2020,12.98
08.01.2020,12.293
09.01.2020,12.176
10.01.2020,12.347
11.01.2020,12.194
12.01.2020,
13.01.2020,12.333
14.01.2020,12.492
15.01.2020,11.914
16.01.2020,11.675
17.01.2020,11.706
18.01.2020,11.478
19.01.2020,
20.01.2020,11.513
21.01.2020,11.271
22.01.2020,11.396
23.01.2020,11.195
24.01.2020,10.895
25.01.2020,11.003
26.01.2020,
27.01.2020,11.028
28.01.2020,10.963
29.01.2020,11.271
30.01.2020,10.829
31.01.2020,10.368
01.02.2020,10.154
02.02.2020,
03.02.2020,10.27
04.02.2020,9.993
05.02.2020,10.13
06.02.2020,10.173
07.02.2020,9.843
08.02.2020,9.745
09.02.2020,
10.02.2020,9.731
11.02.2020,9.401
12.02.2020,9.481
13.02.2020,9.693
14.02.2020,9.579
15.02.2020,9.431
16.02.2020,
17.02.2020,9.482
18.02.2020,9.645
19.02.2020,10.224
20.02.2020,10.141
21.02.2020,10.246
22.02.2020,9.928
23.02.2020,
24.02.2020,10.006
25.02.2020,9.742
26.02.2020,9.7
27.02.2020,9.713
28.02.2020,9.667
29.02.2020,9.406
01.03.2020,
02.03.2020,9.595
03.03.2020,9.806
04.03.2020,10.044
05.03.2020,9.909
06.03.2020,9.81
07.03.2020,9.427
08.03.2020,
09.03.2020,9.489
10.03.2020,9.22
11.03.2020,9.418
12.03.2020,9.575
13.03.2020,9.638
14.03.2020,9.737
15.03.2020,
16.03.2020,9.926
17.03.2020,8.921
18.03.2020,8.528
19.03.2020,8.51
20.03.2020,8.857
21.03.2020,8.961
22.03.2020,
23.03.2020,9.023
24.03.2020,8.633
25.03.2020,8.706
26.03.2020,8.458
27.03.2020,8.212
28.03.2020,7.886
29.03.2020,
30.03.2020,7.994
31.03.2020,7.793
01.04.2020,7.887
02.04.2020,7.686
03.04.2020,7.74
04.04.2020,7.501
05.04.2020,
06.04.2020,7.504
07.04.2020,7.696
08.04.2020,7.984
09.04.2020,7.721
10.04.2020,7.384
11.04.2020,
12.04.2020,
13.04.2020,
14.04.2020,7.534
15.04.2020,7.609
16.04.2020,7.414
17.04.2020,7.438
18.04.2020,7.096
19.04.2020,
20.04.2020,7.168
21.04.2020,6.811
