Day,"Gas (NCG, THE)"
22.04.2020,6.458
23.04.2020,6.701
24.04.2020,6.352
25.04.2020,6.024
26.04.2020,
27.04.2020,6.126
28.04.2020,6.33
29.04.2020,6.628
30.04.2020,6.476
01.05.2020,6.273
02.05.2020,5.968
03.05.2020,
04.05.2020,6
05.05.2020,6.103
06.05.2020,6.144
07.05.2020,6.088
08.05.2020,5.899
09.05.2020,
10.05.2020,
11.05.2020,6.072
12.05.2020,6.304
13.05.2020,6.039
14.05.2020,5.723
15.05.2020,5.662
16.05.2020,5.384
17.05.2020,
18.05.2020,5.44
19.05.2020,5.252
20.05.2020,4.823
21.05.2020,4.532
22.05.2020,3.695
23.05.2020,3.395
24.05.2020,
25.05.2020,
26.05.2020,3.458
27.05.2020,4.712
28.05.2020,4.08
29.05.2020,4.033
30.05.2020,3.866
31.05.2020,
01.06.2020,3.751
02.06.2020,3.703
03.06.2020,4.517
04.06.2020,4.861
05.06.2020,4.679
06.06.2020,4.859
07.06.2020,
08.06.2020,5.028
09.06.2020,5.515
10.06.2020,4.938
11.06.2020,4.606
12.06.2020,4.737
13.06.2020,4.904
14.06.2020,
15.06.2020,5.055
16.06.2020,5.526
17.06.2020,5.346
18.06.2020,5.162
19.06.2020,5.22
20.06.2020,5.286
21.06.2020,
22.06.2020,5.435
23.06.2020,5.328
24.06.2020,5.609
25.06.2020,5.658
26.06.2020,5.19
27.06.2020,4.676
28.06.2020,
29.06.2020,4.831
30.06.2020,5.384
01.07.2020,5.899
02.07.2020,5.851
03.07.2020,5.456
04.07.2020,5.221
05.07.2020,
06.07.2020,5.386
07.07.2020,5.688
08.07.2020,5.892
09.07.2020,5.714
10.07.2020,5.329
11.07.2020,4.832
12.07.2020,
13.07.2020,4.981
14.07.2020,4.992
15.07.2020,4.664
16.07.2020,5.204
17.07.2020,4.908
18.07.2020,5.022
19.07.2020,
20.07.2020,5.161
21.07.2020,4.952
22.07.2020,4.963
23.07.2020,4.891
24.07.2020,5.055
25.07.2020,4.867
26.07.2020,
27.07.2020,4.953
28.07.2020,4.802
29.07.2020,4.861
30.07.2020,5.2
31.07.2020,5.161
01.08.2020,5.301
02.08.2020,
03.08.2020,5.321
04.08.2020,5.969
05.08.2020,6.803
06.08.2020,6.733
07.08.2020,7.116
08.08.2020,7.368
09.08.2020,
10.08.2020,7.408
11.08.2020,7.187
12.08.2020,6.822
13.08.2020,6.375
14.08.2020,6.527
15.08.2020,6.861
16.08.2020,
17.08.2020,6.941
18.08.2020,7.506
19.08.2020,8.001
20.08.2020,8.063
21.08.2020,7.495
22.08.2020,6.451
23.08.2020,
24.08.2020,6.665
25.08.2020,7.613
26.08.2020,7.966
27.08.2020,8.773
28.08.2020,8.541
29.08.2020,9.092
30.08.2020,
31.08.2020,
01.09.2020,9.265
02.09.2020,10.501
03.09.2020,10.339
04.09.2020,10.736
05.09.2020,11.068
06.09.2020,
07.09.2020,11.16
08.09.2020,10.7
09.09.2020,10.082
10.09.2020,10.12
11.09.2020,9.88
12.09.2020,9.417
13.09.2020,
14.09.2020,9.885
15.09.2020,9.813
16.09.2020,9.895
17.09.2020,10.484
18.09.2020,10.747
19.09.2020,10.343
20.09.2020,
21.09.2020,10.545
22.09.2020,10.992
23.09.2020,10.951
24.09.2020,11.379
25.09.2020,11.309
26.09.2020,10.952
27.09.2020,
28.09.2020,11.12
29.09.2020,11.982
30.09.2020,12.411
01.10.2020,11.553
02.10.2020,11.71
03.10.2020,11.298
04.10.2020,
05.10.2020,11.542
06.10.2020,12.725
07.10.2020,12.623
08.10.2020,12.943
09.10.2020,13.273
10.10.2020,13.266
11.10.2020,
12.10.2020,13.601
13.10.2020,13.59
14.10.2020,13.47
15.10.2020,13.728
16.10.2020,13.994
17.10.2020,14.275
18.10.2020,
19.10.2020,14.399
20.10.2020,14.648
21.10.2020,14.559
22.10.2020,14.471
23.10.2020,14.867
24.10.2020,14.864
25.10.2020,
26.10.2020,15.203
27.10.2020,14.796
28.10.2020,14.412
29.10.2020,14.206
30.10.2020,13.67
31.10.2020,13.258
01.11.2020,
02.11.2020,13.313
03.11.2020,12.902
04.11.2020,13.259
05.11.2020,13.562
06.11.2020,14.207
07.11.2020,13.417
08.11.2020,
09.11.2020,13.594
10.11.2020,13.592
11.11.2020,13.68
12.11.2020,13.892
13.11.2020,13.682
14.11.2020,13.552
15.11.2020,
16.11.2020,13.678
17.11.2020,14.098
18.11.2020,13.584
19.11.2020,13.437
20.11.2020,13.004
21.11.2020,12.598
22.11.2020,
23.11.2020,12.696
24.11.2020,13.444
25.11.2020,13.619
26.11.2020,14.049
27.11.2020,13.993
28.11.2020,14.42
29.11.2020,
30.11.2020,14.457
01.12.2020,14.864
02.12.2020,15.038
03.12.2020,14.596
04.12.2020,14.242
05.12.2020,14.302
06.12.2020,
07.12.2020,14.378
08.12.2020,14.105
09.12.2020,14.243
10.12.2020,14.528
11.12.2020,15.218
12.12.2020,15.309
13.12.2020,
14.12.2020,15.346
15.12.2020,16.408
16.12.2020,16.607
17.12.2020,16.252
18.12.2020,15.536
19.12.2020,15.168
20.12.2020,
21.12.2020,15.178
22.12.2020,15.932
23.12.2020,16.929
24.12.2020,16.582
25.12.2020,16.961
26.12.2020,
27.12.2020,
28.12.2020,
29.12.2020,17.017
30.12.2020,18.459
31.12.2020,18.669
