Day,"Gas (NCG, THE)"
,"Price (EUR/MWh, EUR/tCO2)"
28.10.2021,86.113
29.10.2021,77.739
30.10.2021,66.018
31.10.2021,
01.11.2021,65.963
02.11.2021,66.929
03.11.2021,67.045
04.11.2021,75.594
05.11.2021,74.152
06.11.2021,72.63
07.11.2021,
08.11.2021,73.07
09.11.2021,77.441
10.11.2021,75.201
11.11.2021,67.387
12.11.2021,72.349
13.11.2021,74.675
14.11.2021,
15.11.2021,74.928
16.11.2021,79.383
17.11.2021,89.652
18.11.2021,97.962
19.11.2021,92.797
20.11.2021,87.202
21.11.2021,
22.11.2021,87.721
23.11.2021,84.425
24.11.2021,90.608
25.11.2021,92.507
26.11.2021,93.449
27.11.2021,89.795
28.11.2021,
29.11.2021,90.031
30.11.2021,93.708
01.12.2021,96.181
02.12.2021,95.197
03.12.2021,93.061
04.12.2021,91.803
05.12.2021,
06.12.2021,92.098
07.12.2021,90.268
08.12.2021,96.54
09.12.2021,102.683
10.12.2021,102.029
11.12.2021,104.735
12.12.2021,
13.12.2021,104.827
14.12.2021,116.817
15.12.2021,123.801
16.12.2021,128.418
17.12.2021,135.154
18.12.2021,135.685
19.12.2021,
20.12.2021,136.54
21.12.2021,147.055
22.12.2021,176.542
23.12.2021,174.121
24.12.2021,138.129
25.12.2021,106.858
26.12.2021,
27.12.2021,106.858
28.12.2021,106.858
29.12.2021,107.134
30.12.2021,96.563
31.12.2021,84.315
